Se durante l avvio si scopre che un progetto simile e fallito in passato in azienda come utilizzare tale informazione,La si ignora per non rallentare la sponsor approval,La si usa per rifiutare il progetto automaticamente,La si analizza per evitare errori simili e identificare fattori di successo e insuccesso,La si delega al team di esecuzione,C
Cosa avviene se non viene definito alcun meccanismo di governance in avvio,Si potra governare tutto in fase di chiusura,Il team lavorera in maniera informale con potenziale caos decisionale,Non si avranno scostamenti di alcun tipo,Si ottiene un project manager con poteri assoluti,B
Perche la definizione dei vincoli e cosi importante gia in avvio,Per delegarli al PMO,Per comprendere i confini in cui il progetto deve muoversi e pianificare di conseguenza,Per ridurre il numero di deliverable,Per rifiutare di contattare i manager funzionali,B
Come gestire la sponsorizzazione se ci sono piu entita disposte a finanziare il progetto,Si sceglie quella con il budget piu alto,Si definisce un accordo di co sponsoring e si chiariscono quote e responsabilita in avvio,Si ignora l entita secondaria,Si rimanda la decisione a meta esecuzione,B
Che relazione ha il processo di avvio con la definizione di un high level timeline,Non e consentita l elaborazione di una timeline in avvio,Si dettagliano tutte le attivita con i relativi costi,Si definisce un calendario macro delle fasi principali e milestone di riferimento,Si limita la timeline a un Gantt a 50 righe,C
Perche e cruciale stabilire chi ha l autorita di approvare il project charter,Per obbligare il project manager a chiedere permesso su tutto,Per rinunciare al controllo e demandare alla chiusura,Per assicurare un lancio formalizzato e riconosciuto da sponsor o da top management,Per generare conflitti con i manager funzionali,C
In che modo la definizione di un contesto di alto livello riduce i rischi di incomprensione successiva,Genera confusione su requisiti e costi,Permette a tutti di capire obiettivi e finalita macro prima dei dettagli,Obbliga a ridurre la dimensione del team,Impedisce di rivedere la baseline successivamente,B
Se non si presenta un project charter a tutti i principali stakeholder cosa puo succedere,Si rafforza la coesione del gruppo,Si ottiene un default di garanzie,Possono sorgere dubbi sullo scopo del progetto e sulla legittimita del project manager,Si riducono i costi contrattuali,C
Quale rischio si corre avviando un progetto con obiettivi contrastanti tra sponsor e utente finale,Rende la pianificazione piu agile,Genera confusione sugli standard di successo e possibili conflitti in esecuzione,Facilita l attivita di chiusura,Obbliga a definire una baseline di emergenza,B
Perche e necessario chiarire i deliverable chiave in avvio,Per posticipare la definizione costi a dopo il test,Perche cosi si elimina la necessita di un project manager,Per definire i risultati tangibili che giustificano l avvio e impostare un area di responsabilita chiara,Per ottenere un bonus immediato,C
Come si comporta il project manager se il sponsor non vuole firmare alcun documento di avvio,Si procede alla pianificazione non ufficialmente,Si rinuncia al progetto,Si cerca di ottenere una forma di approvazione scritta o meeting formale che attesti l autorizzazione,Si assegna la colpa al team di vendita,C
In che modo un document scopo preliminare e differente dalla WBS,Non esiste differenza,Il primo definisce macro obiettivi e risultati attesi, la WBS scompone dettagliatamente le attivita,La WBS e un optional e lo scopo preliminare e vincolante,Si riferiscono entrambi ai costi,B
Se l avvio prevede un analisi di fattibilita tecnica come si integra con la creazione del project charter,Si fanno in parallelo e si inseriscono i risultati chiave di fattibilita nel charter come base decisionale,Si rinvia la fattibilita a chiusura,Si delega tutto a un consulente esterno senza registrare nulla,Si redige un business case molto dopo la definizione del scope,A
Perche e importante definire le linee di escalation gia nella charter,Per assicurare che la baseline di costi non cambi,Per bloccare i manager funzionali,Per sapere in anticipo come gestire decisioni complesse o conflitti se emergono in fasi successive,Per evitare la necessita di check interni,C
Cosa comporta non aver definito un raggio di azione preciso in avvio su un progetto rischioso,Amplifica l empowerment del team,Permette scelte libere e illimitate,Potrebbe portare a sforamenti e incertezze che compromettono i risultati finali,Limita la capacita di assegnare responsabilita,C
Se uno stakeholder chiave non partecipa al kick off meeting di avvio come reagire,Si prosegue ignorando la sua assenza,Si rifiuta di avviare il progetto,Si documenta l assenza e si prevedono sessioni dedicate per allinearlo ai contenuti e ottenere il suo buy in,Si cede la sponsorship a un fornitore esterno,C
Qual e la funzione del milestone summary nella fase di avvio,Rimpiazzare la programmazione di dettagli,Offrire un anticipo di massima sulle date chiave e sulle fasi principali,Eliminare la necessita di definire stakeholder,Garantire un crash schedule,C
Perche e opportuno definire un meccanismo di change request macro in avvio,Per ignorare le variazioni in esecuzione,Per sanzionare ogni modifica con penali elevate,Per avere linee guida su come gestire eventuali mutamenti di scope e vincoli senza causare confusione,Per rinunciare alla quality di progetto,C
Se l organizzazione sponsor e multiculturale che difficolta potrebbe sorgere nel processo di avvio,Riduzione del budget disponibile,Possibili malintesi sulle priorita e sugli standard di successo,Eliminazione della baseline di tempi,Nessuna problematica significativa,B
Come si gestisce la comunicazione dei rischi iniziali nel project charter,Non si menziona alcun rischio,Si demanda tutto alla fase di controllo,Si elencano i rischi principali e la loro influenza potenziale come reference,Si definisce un risk register dettagliatissimo,C
Perche e consigliabile definire un tempo limite per completare l avvio,Per generare confusione,Perche cosi si riducono i costi del team,Per impedire che la fase di avvio si protragga indefinitamente e blocchi la partenza vera del progetto,Per delegare la chiusura a un manager esterno,C
Quale beneficio si ottiene creando un project charter condiviso anche col team esecutivo,Si annulla l autorita dello sponsor,Si generano conflitti sulle risorse,Si favorisce la comprensione reciproca di obiettivi e vincoli,Si rifiuta la baseline contrattuale,C
Se la fase di avvio richiede un business case e uno stakeholder si oppone a condividerne dati sensibili come procedere,Ignorare i dati e simulare costi irreali,Richiedere un analisi esterna costosa,Avviare negoziazioni e definire NDA o procedure di riservatezza per acquisire le informazioni critiche,Abbandonare la parte di scope definita,C
Nel kickoff meeting perche e essenziale illustrare ruoli e responsabilita in modo trasparente,Per ridurre l impatto degli sponsor secondari,Per generare tensioni sul budget,Per evitare incomprensioni future sul chi fa cosa e su quali risorse,Per nascondere le competenze reali del team,C
Come si seleziona il project manager in avvio se le competenze interne non sono adeguate,Lo si prende a caso,Lo si impone al manager funzionale piu anziano,Lo si individua analizzando skill e leadership necessarie e si valuta perfino un arrivo esterno,Si rinvia la scelta a esecuzione,C
Che impatto hanno le lezioni apprese da progetti simili durante il processo di avvio,Generano costi aggiuntivi,Possono guidare le scelte e prevenire errori comuni,Si usano solo in chiusura,Costringono il team a duplicare la WBS,B
Se il cliente finale non e formalmente coinvolto in avvio chi deve validare i requisiti di alto livello,Il fornitore interno,Lo sponsor principale o chi ne ha delega,Un manager di linea con budget limitato,Il PMO periferico,B
In che modo si definisce la sponsor engagement strategy nel project charter,Impedendo allo sponsor di intervenire,Integrando linee guida su come e quando coinvolgerlo e l autorita che mantiene,Non c e necessita di strategia sponsor,Lasciando la definizione a fine esecuzione,B
Perche e rischioso avviare un progetto senza aver definito i confini di responsabilita con i manager funzionali,Si riducono i potenziali contrasti,Potrebbe emergere confusione su chi gestisce e fornisce risorse,Complica la schedulazione,Anticipa la chiusura forzata,B
Cosa avviene se la definizione del project scope in avvio e contraddittoria con le linee strategiche aziendali,Si generano sinergie inattese,Si ottiene piu budget,Potrebbe portare a un rifiuto del progetto o a una revisione forzata dello scope,Si passa alla pianificazione ignorando i vincoli,C
Perche un project sponsor potrebbe richiedere la definizione del ROI atteso gia in fase di avvio,Per ridurre la trasparenza,Perche e un obbligo legale,Per capire il ritorno economico e avere basi di confronto su priorita di investimento,Per non dover firmare la chiusura contrattuale,C
Se in avvio si stabilisce di usare un approccio agile come si riflette nel project charter,Non lo si cita,Si definisce una sezione in cui si chiariscono metodologie flessibili e frequenza di revisioni,Si abbandona la definizione di stakeholder,Si rimpiazza l analisi dei rischi con sprint continui,B
Qual e l impatto di un vincolo contrattuale stringente nel documento di avvio,Rende il progetto completamente libero,Obbliga a definire subito le penali di esecuzione,Limita le aree di manovra e la flessibilita successiva,Assicura la saturazione delle risorse disponibili,C
Nel caso di progetti multipli e simultanei come incide l avvio su priorita e allocation di risorse,Non c e correlazione,Permette di ignorare conflitti di tempi,Potrebbe dover definire un piano di governance che chiarisca la priorita e risorse condivise,Genera scostamenti automatici,B
